1,2017/04/15 21:26:33:252,1.0118119,0,2.4674439,0,0.9872997,0,2.8211374,0,3.0225478,0,0.005062286,0,0.9655779,0,0.1538958,0,0.1105034,0,2304,0,6755.807,0,0,0
2,2017/04/15 21:26:43:236,1.0118119,0,2.4674567,0,0.9873125,0,2.8211374,0,3.0226118,0,0.005087587,0,0.9655395,0,0.1538062,0,0.1104778,0,2304.128,0,6753.63,0,0,0
3,2017/04/15 21:26:53:236,1.0117607,0,2.4674183,0,0.9872357,0,2.8211886,0,3.0226502,0,0.005113147,0,0.9655267,0,0.1538318,0,0.1105034,0,2304.256,0,6755.551,0,0,0
4,2017/04/15 21:27:03:236,1.0117095,0,2.4674567,0,0.9873253,0,2.8210606,0,3.0226118,0,0.005139222,0,0.9655267,0,0.1538318,0,0.1104778,0,2304.512,0,6757.215,0,-1.28E-05,0
5,2017/04/15 21:27:13:236,1.0117863,0,2.4673927,0,0.9872485,0,2.8210222,0,3.0226118,0,0.005165169,0,0.9655267,0,0.1538062,0,0.1104778,0,2304.384,0,6754.782,0,0,0
6,2017/04/15 21:27:23:236,1.0117863,0,2.4674823,0,0.9873381,0,2.8434995,0,3.022535,0,0.005193697,0,0.9655523,0,0.153883,0,0.1104906,0,2304,0,6758.879,0,0,0
7,2017/04/15 21:27:33:236,1.0117991,0,2.4674695,0,0.9872741,0,2.8435251,0,3.0225734,0,0.005217836,0,0.9655651,0,0.1538574,0,0.1105162,0,2304.128,0,6760.672,0,0,0
8,2017/04/15 21:27:43:236,1.0117607,0,2.4675079,0,0.9872741,0,2.8434867,0,3.0225734,0,0.005243784,0,0.9655907,0,0.1538702,0,0.1104906,0,2304.256,0,6757.727,0,0,0
9,2017/04/15 21:27:53:236,1.0118119,0,2.4674055,0,0.9872869,0,2.8435763,0,3.022599,0,0.005271538,0,0.9655651,0,0.1537806,0,0.110465,0,2304.384,0,6757.471,0,-1.28E-05,0
10,2017/04/15 21:28:03:236,1.0117863,0,2.4674951,0,0.9872997,0,2.8434995,0,3.0225478,0,0.005300582,0,0.9655523,0,0.1537294,0,0.1104906,0,2304.256,0,6755.167,0,-1.28E-05,0
11,2017/04/15 21:28:13:236,1.0118247,0,2.4674439,0,0.9872613,0,2.8435379,0,3.0225734,0,0.005326012,0,0.9655523,0,0.1537806,0,0.1104778,0,2304.256,0,6758.879,0,0,0
12,2017/04/15 21:28:23:236,1.0118375,0,2.4674055,0,0.9873125,0,2.8434867,0,3.0225734,0,0.005352217,0,0.9655267,0,0.1538446,0,0.1104778,0,2304.384,0,6754.91,0,0,0
13,2017/04/15 21:28:33:236,1.0118247,0,2.4674695,0,0.9872741,0,2.8650292,0,3.0225478,0,0.005378551,0,0.9655139,0,0.1537934,0,0.110465,0,2304.128,0,6756.703,0,0,0
14,2017/04/15 21:28:43:236,1.0117479,0,2.4674695,0,0.9872869,0,2.8650932,0,3.018631,0,0.005406046,0,0.9655523,0,0.1537038,0,0.110529,0,2304.384,0,6759.904,0,0,0
15,2017/04/15 21:28:53:236,1.0117607,0,2.4674567,0,0.9872869,0,2.8650676,0,3.0225862,0,0.005434058,0,0.9656419,0,0.153691,0,0.1105034,0,2304.256,0,6757.855,0,-2.56E-05,0
16,2017/04/15 21:29:03:236,1.0117863,0,2.4674183,0,0.9873253,0,2.8650292,0,3.0225862,0,0.005458843,0,0.9655907,0,0.1537038,0,0.1105034,0,2304.512,0,6755.295,0,-1.28E-05,0
17,2017/04/15 21:29:13:236,1.0117607,0,2.4674695,0,0.9872741,0,2.8648628,0,3.004538,0,0.005484919,0,0.9655907,0,0.1538318,0,0.1104778,0,2304.512,0,6760.032,0,-1.28E-05,0
18,2017/04/15 21:29:23:236,1.0118247,0,2.4674951,0,0.9872869,0,2.8648884,0,3.022599,0,0.005512414,0,0.9655395,0,0.153691,0,0.1105034,0,2304.512,0,6760.8,0,-1.28E-05,0
